Kreis_code;Landkreis;Anzahl_Ladepunkte_0425
3352;Landkreis Cuxhaven;221
3251;Landkreis Diepholz;395
3454;Landkreis Emsland;901
3455;Landkreis Friesland;183
3151;Landkreis Gifhorn;253
3153;Landkreis Goslar;276
3159;Landkreis Göttingen;546
3456;Landkreis Grafschaft Bentheim;286
3252;Landkreis Hameln-Pyrmont;148
3353;Landkreis Harburg;392
3358;Landkreis Heidekreis;458
3154;Landkreis Helmstedt;161
3155;Landkreis Hildesheim;451
3158;Landkreis Holzminden;82
3457;Landkreis Leer;224
3354;Landkreis Lüchow-Dannenberg;82
3355;Landkreis Lüneburg;311
3256;Landkreis Nienburg (Weser);201
3155;Landkreis Northeim;390
3458;Landkreis Oldenburg;179
3459;Landkreis Osnabrück;588
3253;Landkreis Osterholz;197
3157;Landkreis Peine;241
3241;Landkreis Region Hannover;2933
3357;Landkreis Rotenburg (Wümme);356
3257;Landkreis Schaumburg;312
3359;Landkreis Stade;359
3360;Landkreis Uelzen;126
3461;Landkreis Vechta;340
3361;Landkreis Verden;279
3462;Landkreis Wesermarsch;134
3463;Landkreis Wittmund;103
3156;Landkreis Wolfenbüttel;84
5554;Kreis Borken;1130
5558;Kreis Coesfeld;440
5358;Kreis Düren;586
5954;Kreis Ennepe-Ruhr-Kreis;395
5366;Kreis Euskirchen;294
5754;Kreis Gütersloh;683
5354;Kreis Heinsberg;459
5758;Kreis Herford;357
5958;Kreis Hochsauerlandkreis;476
5762;Kreis Höxter;305
5154;Kreis Kleve;633
5766;Kreis Lippe;454
5962;Kreis Märkischer Kreis;594
5158;Kreis Mettmann;930
5770;Kreis Minden-Lübbecke;491
5374;Kreis Oberbergischer Kreis;365
5966;Kreis Olpe;165
5774;Kreis Paderborn;753
5562;Kreis Recklinghausen;881
5362;Kreis Rhein-Erft-Kreis;686
5378;Kreis Rheinisch-Bergischer Kreis;363
5162;Kreis Rhein-Kreis Neuss;746
5382;Kreis Rhein-Sieg-Kreis;913
5970;Kreis Siegen-Wittgenstein;392
5974;Kreis Soest;624
5334;Kreis Städteregion Aachen;1309
5566;Kreis Steinfurt;648
5978;Kreis Unna;811
5166;Kreis Viersen;617
5570;Kreis Warendorf;522
5170;Kreis Wesel;782
5711;Kreisfreie Stadt Bielefeld;557
5911;Kreisfreie Stadt Bochum;807
5314;Kreisfreie Stadt Bonn;796
5512;Kreisfreie Stadt Bottrop;159
