Tabelle: 43311-0001
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;;;
Brennstoffeinsatz: Deutschland, Jahre, Energieträger;;;;;
Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;;;;;;;;;
Deutschland;;;;;;;;;
;;Elektrizitätserzeugung (brutto);;Elektrizitätserzeugung (netto);;Nettowärmeerzeugung;;Brennstoffeinsatz;
;;MWh;MWh;MWh;MWh;MWh;MWh;GJ;GJ
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;.;;.;;.;;.;
;Sonstige Mineralölprodukte;121834;e;112489;e;.;;1246243;e
;Erdgas, Erdölgas;54669064;e;52899668;e;45894941;e;502994113;e
;Grubengas;.;;.;;.;;.;
;Kokereigas;.;;.;;-;;.;
;Hochofengas;-;;-;;-;;-;
;Sonstige hergestellte Gase;.;;.;;.;;.;
;Wasserstoff;.;;.;;.;;.;
;Laufwasser;15596938;e;15466372;e;-;;-;
;Speicherwasser;762301;e;757694;e;-;;-;
;Pumpspeicherwasser;-;;-;;-;;-;
;Pumpspeicher mit natürlichem Zufluss;493692;e;493692;e;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;-;;-;;-;;-;
;Windkraft;-;;-;;-;;-;
;Photovoltaik;-;;-;;-;;-;
;Geothermie;-;;-;;-;;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;4895422;e;4365482;e;5258265;e;76078687;e
;Flüssige biogene Stoffe;.;;.;;.;;.;
;Biogas;1974568;e;1909288;e;1617006;e;18522614;e
;Biomethan (Bioerdgas);804642;e;786938;e;945471;e;7577453;e
;Klärgas;.;;.;;.;;.;
;Deponiegas;59340;e;54245;e;53093;e;614791;e
;Sonstige erneuerbare Energien;-;;-;;-;;-;
;Klärschlamm;217878;e;199045;e;42505;e;2237739;e
;Abfall (Hausmüll, Industrie);-;;-;;-;;-;
;Abfall (Industrie);696520;e;546308;e;1624998;e;14346933;e
;Abfall (Hausmüll, Siedlungsabfälle);11094381;e;8807723;e;16900558;e;193529497;e
;Kernenergie;75071236;e;70992175;e;-;;-;
;Wärme;565802;e;541179;e;1680029;e;11210020;e
;Strom (Elektrokessel);-;;-;;.;;.;
;Sonstige Energieträger;.;;.;;.;;.;
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;333450753;e;311088543;e;106759930;e;2409911505;e
2020;Steinkohlen;39228231;e;35460410;e;17528311;e;387642784;e
;Steinkohlenkoks;0;e;0;e;0;e;0;e
;Steinkohlenbriketts;0;e;0;e;0;e;0;e
;Kohlenwertstoffe aus Steinkohle;0;e;0;e;0;e;0;e
;Sonstige Steinkohlen;0;e;0;e;0;e;0;e
;Rohbraunkohlen;88696215;e;82127603;e;6018420;e;830367563;e
;Hartbraunkohlen;.;;.;;.;;.;
;Braunkohlenbriketts;.;;.;;.;;.;
;Braunkohlenkoks;.;;.;;.;;.;
;Wirbelschichtkohle;.;;.;;.;;.;
;Staub- und Trockenkohle;118104;e;103160;e;.;;1945298;e
;Sonstige Braunkohlen;0;e;0;e;0;e;0;e
;Dieselkraftstoff;245;e;240;e;.;;2534;e
;Heizöl, leicht;500688;e;454383;e;224144;e;5895618;e
;Heizöl, schwer;167873;e;151801;e;56296;e;1727145;e
;Flüssiggas;0;e;.;;.;;.;
;Raffineriegas;0;e;0;e;0;e;0;e
;Petrolkoks;.;;.;;.;;.;
;Sonstige Mineralölprodukte;77375;e;71260;e;.;;806083;e
;Erdgas, Erdölgas;58826498;e;57096200;e;46279479;e;529043448;e
;Grubengas;.;;716509;e;.;;.;
;Kokereigas;.;;.;;0;e;.;
;Hochofengas;0;e;0;e;0;e;0;e
;Sonstige hergestellte Gase;.;;.;;.;;.;
;Wasserstoff;.;;.;;.;;.;
;Laufwasser;14230039;e;14100153;e;0;e;0;e
;Speicherwasser;898621;e;894434;e;0;e;0;e
;Pumpspeicherwasser;0;e;0;e;0;e;0;e
;Pumpspeicher mit natürlichem Zufluss;507078;e;507078;e;0;e;0;e
;Pumpspeicher ohne natürlichen Zufluss;0;e;0;e;0;e;0;e
;Windkraft;0;e;0;e;0;e;0;e
;Photovoltaik;0;e;0;e;0;e;0;e
;Geothermie;0;e;0;e;0;e;0;e
;Wärmepumpen (Erd- und Umweltwärme);0;e;0;e;2029;e;0;e
;Solarthermie;0;e;0;e;0;e;0;e
;Feste biogene Stoffe;5017150;e;4441568;e;5461188;e;78678449;e
;Flüssige biogene Stoffe;.;;.;;.;;.;
;Biogas;2253939;e;2177331;e;1795061;e;21218709;e
;Biomethan (Bioerdgas);923386;e;904377;e;1070682;e;8681981;e
;Klärgas;.;;11715;e;.;;.;
;Deponiegas;75112;e;70879;e;51130;e;791564;e
;Sonstige erneuerbare Energien;0;e;0;e;0;e;0;e
;Klärschlamm;201467;e;182745;e;41362;e;2073907;e
;Abfall (Hausmüll, Industrie);0;e;0;e;0;e;0;e
;Abfall (Industrie);523452;e;394625;e;1010528;e;10296697;e
;Abfall (Hausmüll, Siedlungsabfälle);11104186;e;8806723;e;16083251;e;.;
;Kernenergie;64382397;e;60914324;e;0;e;0;e
;Wärme;536607;e;514311;e;1801833;e;11907416;e
;Strom (Elektrokessel);0;e;0;e;.;;.;
;Sonstige Energieträger;.;;.;;.;;23419;e
;Andere Speicher;0;e;0;e;0;e;0;e
;Insgesamt;289448384;e;270489799;e;98526700;e;2099389972;e
2021;Steinkohlen;51105726;e;46662271;e;19885222;e;485083917;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;107136315;e;99369899;e;7070451;e;995763422;e
;Hartbraunkohlen;.;;.;;.;;.;
;Braunkohlenbriketts;.;;.;;.;;.;
;Braunkohlenkoks;.;;.;;.;;.;
;Wirbelschichtkohle;.;;.;;.;;.;
;Staub- und Trockenkohle;119990;e;105177;e;.;;2095414;e
;Sonstige Braunkohlen;-;;-;;-;;-;
;Dieselkraftstoff;263;e;262;e;-;;2416;e
;Heizöl, leicht;598685;e;555125;e;482246;e;7869131;e
;Heizöl, schwer;203408;e;184404;e;91720;e;2253887;e
;Flüssiggas;-;;-;;-;;-;
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;-;;-;;-;;-;
;Sonstige Mineralölprodukte;53486;e;49039;e;.;;539822;e
;Erdgas, Erdölgas;53453212;e;51795659;e;50113751;e;506193711;e
;Grubengas;.;;606924;e;.;;.;
;Kokereigas;.;;.;;-;;.;
;Hochofengas;-;;-;;-;;-;
;Sonstige hergestellte Gase;.;;.;;.;;.;
;Wasserstoff;.;;.;;.;;.;
;Laufwasser;14996269;e;14869915;e;-;;-;
;Speicherwasser;690104;e;686115;e;-;;-;
;Pumpspeicherwasser;541785;e;541785;e;-;;-;
;Pumpspeicher mit natürlichem Zufluss;-;;-;;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;-;;-;;-;;-;
;Windkraft;-;;-;;-;;-;
;Photovoltaik;-;;-;;-;;-;
;Geothermie;-;;-;;-;;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;462;e;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;4780618;e;4215786;e;5825755;e;77017454;e
;Flüssige biogene Stoffe;.;;.;;.;;.;
;Biogas;2421704;e;2305020;e;1934873;e;22069437;e
;Biomethan (Bioerdgas);1058011;e;1036392;e;1201912;e;9847441;e
;Klärgas;.;;19126;e;.;;.;
;Deponiegas;66830;e;62706;e;37646;e;690956;e
;Sonstige erneuerbare Energien;-;;-;;-;;-;
;Klärschlamm;212479;e;193210;e;56941;e;2223900;e
;Abfall (Hausmüll, Industrie);-;;-;;-;;-;
;Abfall (Industrie);509642;e;375925;e;1178509;e;10956849;e
;Abfall (Hausmüll, Siedlungsabfälle);10877853;e;8559383;e;17741158;e;.;
;Kernenergie;69130451;e;65444268;e;-;;-;
;Wärme;552733;e;534327;e;1655621;e;11236238;e
;Strom (Elektrokessel);-;;-;;.;;.;
;Sonstige Energieträger;.;;.;;.;;14486;e
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;319623927;e;298594508;e;108521931;e;2345038095;e
2022;Steinkohlen;60759486;e;55443585;e;19106288;e;571296845;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;113611255;e;105943521;e;6558509;e;1039783896;e
;Hartbraunkohlen;.;;.;;.;;.;
;Braunkohlenbriketts;43460;e;40444;e;.;;410269;e
;Braunkohlenkoks;.;;.;;.;;.;
;Wirbelschichtkohle;.;;.;;.;;.;
;Staub- und Trockenkohle;.;;.;;.;;.;
;Sonstige Braunkohlen;-;;-;;-;;-;
;Dieselkraftstoff;.;;.;;.;;.;
;Heizöl, leicht;829009;e;773967;e;1386039;e;13015866;e
;Heizöl, schwer;237152;e;214908;e;33706;e;2366438;e
;Flüssiggas;-;;-;;-;;-;
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;-;;-;;-;;-;
;Sonstige Mineralölprodukte;.;;.;;.;;182720;e
;Erdgas, Erdölgas;46636174;e;45163692;e;41934364;e;431244326;e
;Grubengas;582597;e;577321;e;.;;5708188;e
;Kokereigas;-;;-;;-;;-;
;Hochofengas;-;;-;;-;;-;
;Sonstige hergestellte Gase;.;;.;;.;;.;
;Wasserstoff;.;;.;;.;;.;
;Laufwasser;13404202;e;13281638;e;-;;-;
;Speicherwasser;614789;e;611162;e;-;;-;
;Pumpspeicherwasser;-;;-;;-;;-;
;Pumpspeicher mit natürlichem Zufluss;480142;e;480142;e;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;-;;-;;-;;-;
;Windkraft;-;;-;;-;;-;
;Photovoltaik;-;;-;;-;;-;
;Geothermie;-;;-;;-;;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;5157301;e;4555379;e;5496277;e;77387745;e
;Flüssige biogene Stoffe;.;;.;;.;;.;
;Biogas;2781281;e;2662858;e;2238806;e;25471287;e
;Biomethan (Bioerdgas);1031257;e;1007770;e;1172103;e;9574762;e
;Klärgas;.;;.;;.;;.;
;Deponiegas;59864;e;56080;e;35286;e;623753;e
;Sonstige erneuerbare Energien;-;;-;;-;;-;
;Klärschlamm;206726;e;181848;e;107537;e;2241021;e
;Abfall (Hausmüll, Industrie);-;;-;;-;;-;
;Abfall (Industrie);542529;e;368799;e;1083604;e;10362280;e
;Abfall (Hausmüll, Siedlungsabfälle);10494870;e;8248924;e;16865152;e;189935228;e
;Kernenergie;34709262;e;32765409;e;-;;-;
;Wärme;346035;e;330543;e;1115125;e;8318414;e
;Strom (Elektrokessel);-;;-;;.;;.;
;Sonstige Energieträger;.;;.;;.;;.;
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;293024354;e;273144778;e;98388835;e;2395591232;e
2023;Steinkohlen;36824528;p;33391800;p;14905682;p;360489220;p
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;83954004;p;77586125;p;5535168;p;789983664;p
;Hartbraunkohlen;.;;.;;.;;.;
;Braunkohlenbriketts;.;;.;;.;;.;
;Braunkohlenkoks;.;;.;;.;;.;
;Wirbelschichtkohle;.;;.;;.;;.;
;Staub- und Trockenkohle;.;;.;;.;;.;
;Sonstige Braunkohlen;-;;-;;-;;-;
;Dieselkraftstoff;.;;.;;.;;.;
;Heizöl, leicht;592794;p;544708;p;547777;p;7956149;p
;Heizöl, schwer;232190;p;209714;p;23179;p;2341125;p
;Flüssiggas;-;;-;;.;;.;
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;-;;-;;-;;-;
;Sonstige Mineralölprodukte;.;;.;;.;;.;
;Erdgas, Erdölgas;45638888;p;44255013;p;42456582;p;421879870;p
;Grubengas;505893;p;501442;p;169618;p;4909086;p
;Kokereigas;-;;-;;-;;-;
;Hochofengas;-;;-;;-;;-;
;Sonstige hergestellte Gase;.;;.;;.;;.;
;Wasserstoff;.;;.;;.;;.;
;Laufwasser;15188946;p;15063245;p;-;;-;
;Speicherwasser;843278;p;839316;p;-;;-;
;Pumpspeicherwasser;-;;-;;-;;-;
;Pumpspeicher mit natürlichem Zufluss;542073;p;542073;p;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;-;;-;;-;;-;
;Windkraft;-;;-;;-;;-;
;Photovoltaik;-;;-;;-;;-;
;Geothermie;-;;-;;-;;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;4856029;p;4314766;p;5745481;p;75847117;p
;Flüssige biogene Stoffe;.;;.;;.;;.;
;Biogas;2734482;p;2628873;p;2215195;p;25018075;p
;Biomethan (Bioerdgas);955825;p;936419;p;1113522;p;8962886;p
;Klärgas;.;;.;;.;;.;
;Deponiegas;57260;p;53592;p;29940;p;576985;p
;Sonstige erneuerbare Energien;-;;-;;-;;-;
;Klärschlamm;200508;p;173900;p;103060;p;2291505;p
;Abfall (Hausmüll, Industrie);-;;-;;-;;-;
;Abfall (Industrie);504531;p;337380;p;1176315;p;10482384;p
;Abfall (Hausmüll, Siedlungsabfälle);10660389;p;8426706;p;16899761;p;193012598;p
;Kernenergie;7215636;p;6723008;p;-;;-;
;Wärme;440011;p;422153;p;1373112;p;9503403;p
;Strom (Elektrokessel);-;;-;;.;;.;
;Sonstige Energieträger;.;;.;;.;;.;
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;212343880;e;197288057;e;93182710;e;1919752470;e
2024;Steinkohlen;26258109;e;23760336;e;11754721;e;256374038;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;76810776;e;71076760;e;4099447;e;723476391;e
;Hartbraunkohlen;.;;.;;.;;.;
;Braunkohlenbriketts;.;;.;;.;;.;
;Braunkohlenkoks;.;;.;;.;;.;
;Wirbelschichtkohle;.;;.;;.;;.;
;Staub- und Trockenkohle;.;;.;;.;;.;
;Sonstige Braunkohlen;-;;-;;-;;-;
;Dieselkraftstoff;994;e;706;e;.;;10480;e
;Heizöl, leicht;571400;e;522879;e;332861;e;7029363;e
;Heizöl, schwer;171941;e;154814;e;20645;e;1779389;e
;Flüssiggas;-;;-;;.;;.;
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;-;;-;;-;;-;
;Sonstige Mineralölprodukte;.;;.;;.;;.;
;Erdgas, Erdölgas;49271198;e;47744737;e;44938409;e;452294932;e
;Grubengas;491218;e;486810;e;.;;4705550;e
;Kokereigas;-;;-;;-;;-;
;Hochofengas;-;;-;;-;;-;
;Sonstige hergestellte Gase;.;;.;;.;;.;
;Wasserstoff;.;;.;;.;;.;
;Laufwasser;17549032;e;17400480;e;-;;-;
;Speicherwasser;938735;e;931104;e;-;;-;
;Pumpspeicherwasser;-;;-;;-;;-;
;Pumpspeicher mit natürlichem Zufluss;482884;e;482884;e;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;-;;-;;-;;-;
;Windkraft;-;;-;;-;;-;
;Photovoltaik;-;;-;;-;;-;
;Geothermie;-;;-;;-;;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;.;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;4591251;e;4074440;e;5876531;e;72989736;e
;Flüssige biogene Stoffe;.;;.;;.;;.;
;Biogas;2654989;e;2564675;e;2157775;e;24857938;e
;Biomethan (Bioerdgas);884680;e;868104;e;1007180;e;8167011;e
;Klärgas;.;;.;;.;;.;
;Deponiegas;62409;e;58672;e;30707;e;643783;e
;Sonstige erneuerbare Energien;-;;-;;-;;-;
;Klärschlamm;229265;e;198269;e;112146;e;2725670;e
;Abfall (Hausmüll, Industrie);-;;-;;-;;-;
;Abfall (Industrie);462155;e;302544;e;1129490;e;9949729;e
;Abfall (Hausmüll, Siedlungsabfälle);10360013;e;8103055;e;17764277;e;191374455;e
;Kernenergie;-;;-;;-;;-;
;Wärme;463821;e;449226;e;1454900;e;10094210;e
;Strom (Elektrokessel);-;;-;;92187;e;338768;e
;Sonstige Energieträger;.;;.;;.;;.;
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;192629249;e;179503950;e;91628941;e;1772348638;e
__________
"Elektrizitätserzeugung, Brennstoffeinsatz:
Einschließlich Verbrauch für Zünd- und Stützfeuerung.

MWh = Megawattstunden
GJ  = Gigajoule"
© Statistisches Bundesamt (Destatis), 2025
Stand: 28.05.2025 / 19:49:01
