Tabelle: 43311-0001
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;;;
Brennstoffeinsatz: Deutschland, Jahre, Energieträger;;;;;
Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;;;;;;;;;
Deutschland;;;;;;;;;
;;Elektrizitätserzeugung (brutto);;Elektrizitätserzeugung (netto);;Nettowärmeerzeugung;;Brennstoffeinsatz;
;;MWh;MWh;MWh;MWh;MWh;MWh;GJ;GJ
;Braunkohlenkoks;2329;e;1716;e;424;e;54516;e
;Wirbelschichtkohle;336465;e;281454;e;270292;e;4597632;e
;Staub- und Trockenkohle;504190;e;447221;e;739802;e;7074988;e
;Sonstige Braunkohlen;173838;e;164761;e;21515;e;1545366;e
;Dieselkraftstoff;7791;e;6792;e;1;e;78025;e
;Heizöl, leicht;540439;e;490084;e;382443;e;7511054;e
;Heizöl, schwer;588657;e;544145;e;58818;e;5517041;e
;Flüssiggas;-;;-;;-;;-;
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;254955;e;236987;e;35388;e;2379480;e
;Sonstige Mineralölprodukte;1302347;e;1192742;e;32083;e;11823911;e
;Erdgas, Erdölgas;58072574;e;56256917;e;52769840;e;562618053;e
;Grubengas;542972;e;501313;e;104831;e;5195321;e
;Kokereigas;691978;e;646144;e;8576;e;6428769;e
;Hochofengas;2764861;e;2572847;e;22577;e;25545756;e
;Sonstige hergestellte Gase;137528;e;126382;e;316612;e;2108078;e
;Wasserstoff;-;;-;;-;;-;
;Laufwasser;16162534;e;15823968;e;-;;-;
;Speicherwasser;711286;e;705428;e;-;;-;
;Pumpspeicherwasser;7554235;e;7439545;e;-;;-;
;Pumpspeicher mit natürlichem Zufluss;-;;-;;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;-;;-;;-;;-;
;Windkraft;443150;e;442073;e;-;;-;
;Photovoltaik;5543;e;5529;e;-;;-;
;Geothermie;-;;-;;29628;e;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;2276373;e;2100074;e;1512256;e;33919344;e
;Flüssige biogene Stoffe;59913;e;57461;e;27497;e;505197;e
