Hersteller;Modell;Antrieb;Leistung (kW);Grundpreis ;10k;15k;20k;30k;Strom_cent_kWh;Segment
Ford;Capri Extended Range (77 kWh) Premium;E;210;55400;104,6;76,7;63,5;49,9;35;Kompakt-SUV 
Ford;Capri Extended Range (79 kWh) Premium AWD;E;250;59400;109,8;80,8;67,1;53;35;Kompakt-SUV 
Ford;Capri Standard Range (52 kWh) Premium;E;125;48400;93,7;68,1;55,9;43,5;35;Kompakt-SUV 
Ford;Explorer EV Extended Range (77 kWh) Premium;E;210;52900;101,6;74,8;62;49;35;Mittelklasse-SUV
Ford;Explorer EV Extended Range (79 kWh) Premium AWD;E;250;56900;107,2;79,2;65,8;52,2;35;Mittelklasse-SUV
Ford;Explorer EV Standard Range (52 kWh) Premium;E;125;46200;92,6;67,3;55,3;43,1;35;Mittelklasse-SUV
Ford;Kuga 2.5 PHEV Titanium CVT;S/E;178;46850;91,3;66,8;55,1;43,6;35;Kompakt-SUV
Ford;Kuga 1.5 EcoBoost Titanium;S;111;39950;85,3;63,9;53,7;43,5;35;Kompakt-SUV
Ford;Kuga Active 2.5 PHEV CVT;S/E;178;48550;92,9;68;56,2;44,5;35;Kompakt-SUV
Ford;Kuga Active 2.5 FHEV CVT;S;132;45550;93,3;68,8;57,1;45,5;35;Kompakt-SUV
Ford;Mustang Mach-E Extended Range Premium;E;216;58500;110,1;79,2;64,5;49,4;35;Mittelklasse-SUV 
Ford;Mustang Mach-E Rally;E;358;80300;143,2;103,5;84,4;65;35;Mittelklasse-SUV 
Ford;Mustang Mach-E Standard Range;E;198;55800;106,5;78,1;64,6;50,3;35;Mittelklasse-SUV 
Ford;Puma Gen-E;E;124;36900;72,4;52,3;42,9;33,2;35;Kleinwagen-SUV
Ford;Tourneo Connect 1.5 EcoBoost PHEV Trend Automatik;S/E;110;43000;88,9;65,6;54,3;42,9;35;Hochdachkombi / Kompaktvan
Ford;Tourneo Connect 1.5 EcoBoost Trend;S;85;31400;77,2;58,6;49,5;41,3;35;Hochdachkombi / Kompaktvan
Honda;CR-V 2.0 i-MMD e:PHEV Advance Tech 2WD e-CVT;S/E;135;60800;103,6;75,7;62,1;48,6;35;Kompakt-SUV
Honda;CR-V 2.0 i-MMD e:HEV Elegance 2WD e-CVT;S;135;49600;96;71,4;59,5;47,7;35;Kompakt-SUV
Honda;e:Ny1;E;150;38990;86,2;65,3;54,3;43,3;35;Kompakt-SUV
Honda;ZR-V 2.0 i-MMD e:HEV Elegance;S;135;42900;87,7;65,3;54,3;43,5;35;Kompakt-SUV
Hyundai;Inster (42 kWh) Select;E;71;23900;55,3;40,2;33,7;26,6;35;Kleinstwagen
Hyundai;Bayon 1.0 T-GDI Select;S;74;22900;59,6;45,1;38,4;32;35;Kleinwagen-SUV
Hyundai;Inster (49 kWh) Select;E;85;25400;56,8;41,3;34,7;27,5;35;Kleinstwagen
