name,type,lat,lon,capacity_mw
Unbekannt,Wind,51.50265475,10.81927606,1.5
Unbekannt,Wind,51.50265475,10.81927606,1.5
Unbekannt,Wind,53.80859523,13.02223193,1.5
Unbekannt,Wind,52.87410497,7.351112034,1.5
Unbekannt,Wind,50.0356576,11.56591879,1.5
Unbekannt,Wind,52.85832729999999,7.229688418,1.5
Unbekannt,Bioenergy,51.33600437,9.489624251,11.0
Unbekannt,Wind,51.43859409,9.186665182,1.3
Unbekannt,Wind,54.46416311,9.039341736,1.05
Unbekannt,Wind,51.61598127,12.12468141,1.5
Unbekannt,Wind,53.16098166,7.328068907,1.5
Unbekannt,Wind,54.17723241,10.97557686,1.5
Unbekannt,Wind,52.85832729999999,7.229688418,1.5
Unbekannt,Wind,51.18022644,12.94386732,1.5
Unbekannt,Wind,53.16098166,7.328068907,1.5
Unbekannt,Wind,51.18022644,12.94386732,1.5
Unbekannt,Wind,52.99449337,7.833254611,1.5
Unbekannt,Bioenergy,48.05533918,8.44089233,1.012
Unbekannt,Wind,54.44802857,9.149821451,1.65
Unbekannt,Wind,51.7199406,8.828694039,1.5
Unbekannt,Wind,53.9200879,13.67978197,1.5
Unbekannt,Wind,53.9200879,13.67978197,1.5
Unbekannt,Wind,51.92478368,12.44189854,1.3
Unbekannt,Wind,52.09243055,9.091344759,1.5
Unbekannt,Wind,53.9200879,13.67978197,1.5
Unbekannt,Wind,51.18022644,12.94386732,1.5
Unbekannt,Bioenergy,48.50351823,12.18327356,4.75
Unbekannt,Wind,53.55350652,11.8965773,1.65
Unbekannt,Wind,53.16098166,7.328068907,1.5
Unbekannt,Wind,51.7199406,8.828694039,1.5
Unbekannt,Wind,51.50265475,10.81927606,1.5
Unbekannt,Wind,51.18022644,12.94386732,1.5
Unbekannt,Wind,51.50265475,10.81927606,1.5
Unbekannt,Wind,51.18022644,12.94386732,1.5
Unbekannt,Wind,51.18022644,12.94386732,1.5
Unbekannt,Wind,52.07451165,12.87613257,1.5
Unbekannt,Wind,52.07451165,12.87613257,1.5
Unbekannt,Wind,51.18022644,12.94386732,1.5
Unbekannt,Wind,54.44802857,9.149821451,1.65
Unbekannt,Wind,54.2858103,9.131569683,1.5
Unbekannt,Wind,53.26626291,7.913573235,1.3
Unbekannt,Wind,54.44802857,9.149821451,1.65
Unbekannt,Wind,53.16098166,7.328068907,1.5
Unbekannt,Wasserkraft,51.20564873,11.95568101,1.2
Unbekannt,Wind,54.2858103,9.131569683,1.5
Unbekannt,Wind,50.50138018,9.331875046,1.5
Unbekannt,Wind,52.07451165,12.87613257,1.5
Unbekannt,Wind,51.18022644,12.94386732,1.5
Unbekannt,Wind,54.2858103,9.131569683,1.5
Unbekannt,Wind,52.07451165,12.87613257,1.5
Unbekannt,Wind,54.44802857,9.149821451,1.65
Unbekannt,Wind,53.9200879,13.67978197,1.5
Unbekannt,Wind,53.9200879,13.67978197,1.5
Unbekannt,Wind,53.9200879,13.67978197,1.5
Unbekannt,Wind,54.44802857,9.149821451,1.65
Unbekannt,Wind,51.09715464,11.09552299,1.5
Unbekannt,Wind,51.09715464,11.09552299,1.5
Unbekannt,Wind,49.69178438,8.195820177,3.0
Unbekannt,Wind,53.16098166,7.328068907,1.5
Unbekannt,Wind,49.69178438,8.195820177,1.2
Unbekannt,Wind,51.18022644,12.94386732,1.5
Unbekannt,Wind,51.18022644,12.94386732,1.5
Unbekannt,Wind,51.59158468,11.90661889,1.5
Unbekannt,Wind,54.00783564,12.23893212,1.5
Unbekannt,Wind,52.85296517,8.738710012,1.5
Unbekannt,Wind,52.85296517,8.738710012,1.3
Unbekannt,Wind,52.28551757,9.839874235,1.5
Unbekannt,Wind,52.09201259,11.07972283,1.3
Unbekannt,Wind,52.28551757,9.839874235,1.5
Unbekannt,Wind,52.09243055,9.091344759,1.5
Unbekannt,Wind,52.5511894,9.468137185,1.3
Unbekannt,Bioenergy,52.64141674,13.54424551,3.138
Unbekannt,Wind,50.85882953,13.6294847,1.5
Unbekannt,Wind,54.22459820000001,10.3193815,4.8
Unbekannt,Wind,52.85296517,8.738710012,1.3
Unbekannt,Wind,51.27017782,12.29978341,1.5
Unbekannt,Bioenergy,51.4490789,6.853796546,2.717
Unbekannt,Wind,50.85882953,13.6294847,1.5
Unbekannt,Wind,48.20398970000001,11.6169691,1.5
Unbekannt,Wind,50.85882953,13.6294847,1.5
Unbekannt,Wind,50.85882953,13.6294847,1.5
Unbekannt,Wind,54.39566139999999,10.3696268,1.65
Unbekannt,Wind,52.5511894,9.468137185,1.3
Unbekannt,Wind,53.13795182,7.616428704,1.5
Unbekannt,Wind,51.59563387,9.114490059,1.5
Unbekannt,Wind,54.2858103,9.131569683,1.5
Unbekannt,Wind,54.2858103,9.131569683,1.5
Unbekannt,Wind,51.61598127,12.12468141,1.3
Unbekannt,Wind,51.21871837,12.74039911,1.5
Unbekannt,Bioenergy,48.39870559,8.970647132,1.7
Unbekannt,Wind,53.13795182,7.616428704,1.5
Unbekannt,Wind,53.44587968,13.833535,1.05
Unbekannt,Wind,51.12694646,12.01167451,1.5
Unbekannt,Wind,53.44587968,13.833535,1.05
Unbekannt,Wind,51.12694646,12.01167451,1.5
Unbekannt,Wind,53.44587968,13.833535,1.05
