Segment,Modell,Verbrauch_(kWh/100km),Testart
MITTELKLASSE,BMW i4 eDrive40,16.9,WLTP
MITTELKLASSE,Renault Mégane E-tech,17.1,WLTP
MITTELKLASSE,MG ZS Long Range,17.8,WLTP
MITTELKLASSE,Mercedes EQA 250,17.9,WLTP
MITTELKLASSE,Kia EV6 4WD,18.0,WLTP
MITTELKLASSE,Audi e-tron Q4 40,18.1,WLTP
MITTELKLASSE,VW ID.5 GTX,18.7,WLTP
MITTELKLASSE,BMW iX3,18.9,WLTP
MITTELKLASSE,VW ID.4 GTX,18.9,WLTP
MITTELKLASSE,BMW i4 M50,19.0,WLTP
MITTELKLASSE,Audi e-tron Q4 50 quattro,19.3,WLTP
MITTELKLASSE,Xpeng P7,19.4,WLTP
MITTELKLASSE,BMW iX xDrive40,20.8,WLTP
MITTELKLASSE,Maxus Euniq6,21.0,WLTP
MITTELKLASSE,Volvo C40 Recharge,21.1,WLTP
MITTELKLASSE,NIO ES8,21.5,WLTP
MITTELKLASSE,BYD Tang,21.6,WLTP
MITTELKLASSE,Porsche Taycan 4 Cross Turismo,25.0,WLTP
OBERE MITTELKLASSE & OBERKLASSE,Mercedes EQS 450+,16.8,WLTP
OBERE MITTELKLASSE & OBERKLASSE,Audi e-tron GT,20.5,WLTP
OBERE MITTELKLASSE & OBERKLASSE,Porsche Taycan 4S,26.2,WLTP
SUVs & GELÄNDEWAGEN,Aiways U5 Premium,17.0,WLTP
SUVs & GELÄNDEWAGEN,VW ID.4 Pro,17.7,WLTP
SUVs & GELÄNDEWAGEN,VW ID.4 GTX,18.3,WLTP
SUVs & GELÄNDEWAGEN,Nissan Leaf e+ Tekna,18.5,WLTP
SUVs & GELÄNDEWAGEN,Polestar 2 Long Range Dual Motor,19.3,WLTP
SUVs & GELÄNDEWAGEN,Tesla Model Y,16.9,WLTP
SUVs & GELÄNDEWAGEN,Hongqi EHS-9,22.0,WLTP
SUVs & GELÄNDEWAGEN,BMW iX xDrive50,21.4,WLTP
SUVs & GELÄNDEWAGEN,Jaguar i-Pace,22.0,WLTP
SUVs & GELÄNDEWAGEN,Mercedes EQC 400,22.6,WLTP
SUVs & GELÄNDEWAGEN,Audi e-tron 55,23.0,WLTP
SUVs & GELÄNDEWAGEN,Audi e-tron Sportback,23.7,WLTP
SUVs & GELÄNDEWAGEN,Volvo XC40 Recharge,23.8,WLTP
SUVs & GELÄNDEWAGEN,Tesla Model X,20.8,WLTP
"UTILITIES, MINI-VANS & GROSSRAUM_VANS",Opel Combo-e,19.3,WLTP
"UTILITIES, MINI-VANS & GROSSRAUM_VANS",Nissan e-NV200,25.9,WLTP
"UTILITIES, MINI-VANS & GROSSRAUM_VANS",Citroen e-Spacetourer,26.6,WLTP
